condition,w,sigma_d,seed,handoff,n_reached,w2
A0.003,0.4,0.0,0,2,200,0.05099938395465384
A0.003,0.4,0.0,1,1,200,0.045145839063006454
A0.003,0.4,0.0,1,2,200,0.04868839362910912
A0.003,0.4,0.0,2,1,200,0.0331863298080588
A0.003,0.4,0.0,2,2,200,0.04094601052269116
A0.003,0.4,0.0,3,1,200,0.042863859091141286
A0.003,0.4,0.0,3,2,200,0.044394174395296936
A0.003,0.4,0.0,4,1,200,0.0288642856522482
A0.003,0.4,0.0,4,2,200,0.03260786305267927
A0.003,0.4,0.02,0,1,200,0.04504647574507337
A0.003,0.4,0.02,0,2,200,0.029296281328577742
A0.003,0.4,0.02,1,1,200,0.04513777482477655
A0.003,0.4,0.02,1,2,200,0.0246969186895484
A0.003,0.4,0.02,2,1,200,0.0293587363475075
A0.003,0.4,0.02,2,2,200,0.04302920661874939
A0.003,0.4,0.02,3,1,200,0.03977619138188468
A0.003,0.4,0.02,3,2,200,0.041032136639695516
A0.003,0.4,0.02,4,1,200,0.028232008626713666
A0.003,0.4,0.02,4,2,200,0.03072204288697621
A0.003,0.4,0.05,0,1,200,0.039426732772485075
A0.003,0.4,0.05,0,2,200,0.045485629154227644
A0.003,0.4,0.05,1,1,200,0.041793318274079366
A0.003,0.4,0.05,1,2,200,0.03954018864902629
A0.003,0.4,0.05,2,1,200,0.031178392487012086
A0.003,0.4,0.05,2,2,200,0.05034699381943476
A0.003,0.4,0.05,3,1,200,0.03607587333942694
A0.003,0.4,0.05,3,2,200,0.06079844412364423
A0.003,0.4,0.05,4,1,200,0.03424378412010024
A0.003,0.4,0.05,4,2,200,0.04486793654567786
A0.003,0.4,0.1,0,1,200,0.04324763570104802
